genome,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster,sample,Treat_Control,Time_Point,Plot,Depth
15_20.bin.100.strict.fa,12_1,0.03,average,ANImf,12,ZhuHai_15_20,treatment,0,20,20
20_30.bin.161.permissive.fa,12_1,0.03,average,ANImf,12,ZhuHai_20_30,treatment,0,30,30
5_10.bin.59.strict.fa,12_1,0.03,average,ANImf,12,ZhuHai_5_10,treatment,0,10,10
10_15.bin.36.strict.fa,13_0,0.03,average,ANImf,13,ZhuHai_10_15,treatment,0,15,15
20_30.bin.38.strict.fa,14_1,0.03,average,ANImf,14,ZhuHai_20_30,treatment,0,30,30
80_100.bin.146.orig.fa,14_1,0.03,average,ANImf,14,ZhuHai_80_100,treatment,0,100,100
0_5.bin.47.strict.fa,15_1,0.03,average,ANImf,15,ZhuHai_0_5,treatment,0,5,5
10_15.bin.31.permissive.fa,15_1,0.03,average,ANImf,15,ZhuHai_10_15,treatment,0,15,15
5_10.bin.88.strict.fa,15_1,0.03,average,ANImf,15,ZhuHai_5_10,treatment,0,10,10
20_30.bin.171.orig.fa,16_1,0.03,average,ANImf,16,ZhuHai_20_30,treatment,0,30,30
40_50.bin.130.strict.fa,16_1,0.03,average,ANImf,16,ZhuHai_40_50,treatment,0,50,50
50_60.bin.113.permissive.fa,16_1,0.03,average,ANImf,16,ZhuHai_50_60,treatment,0,60,60
60_80.bin.113.strict.fa,16_1,0.03,average,ANImf,16,ZhuHai_60_80,treatment,0,80,80
80_100.bin.18.orig.fa,16_1,0.03,average,ANImf,16,ZhuHai_80_100,treatment,0,100,100
50_60.bin.172.permissive.fa,17_1,0.03,average,ANImf,17,ZhuHai_50_60,treatment,0,60,60
60_80.bin.172.permissive.fa,17_1,0.03,average,ANImf,17,ZhuHai_60_80,treatment,0,80,80
20_30.bin.203.strict.fa,18_1,0.03,average,ANImf,18,ZhuHai_20_30,treatment,0,30,30
5_10.bin.35.strict.fa,18_1,0.03,average,ANImf,18,ZhuHai_5_10,treatment,0,10,10
15_20.bin.40.strict.fa,19_0,0.03,average,ANImf,19,ZhuHai_15_20,treatment,0,20,20
40_50.bin.70.permissive.fa,20_1,0.03,average,ANImf,20,ZhuHai_40_50,treatment,0,50,50
80_100.bin.171.permissive.fa,20_1,0.03,average,ANImf,20,ZhuHai_80_100,treatment,0,100,100
15_20.bin.101.strict.fa,21_1,0.03,average,ANImf,21,ZhuHai_15_20,treatment,0,20,20
20_30.bin.88.strict.fa,21_1,0.03,average,ANImf,21,ZhuHai_20_30,treatment,0,30,30
30_40.bin.147.strict.fa,21_1,0.03,average,ANImf,21,ZhuHai_30_40,treatment,0,40,40
40_50.bin.98.strict.fa,21_1,0.03,average,ANImf,21,ZhuHai_40_50,treatment,0,50,50
80_100.bin.98.strict.fa,21_1,0.03,average,ANImf,21,ZhuHai_80_100,treatment,0,100,100
80_100.bin.51.orig.fa,22_0,0.03,average,ANImf,22,ZhuHai_80_100,treatment,0,100,100
50_60.bin.126.permissive.fa,23_1,0.03,average,ANImf,23,ZhuHai_50_60,treatment,0,60,60
60_80.bin.126.orig.fa,23_1,0.03,average,ANImf,23,ZhuHai_60_80,treatment,0,80,80
10_15.bin.146.permissive.fa,24_1,0.03,average,ANImf,24,ZhuHai_10_15,treatment,0,15,15
20_30.bin.150.permissive.fa,24_2,0.03,average,ANImf,24,ZhuHai_20_30,treatment,0,30,30
50_60.bin.135.strict.fa,25_1,0.03,average,ANImf,25,ZhuHai_50_60,treatment,0,60,60
60_80.bin.135.permissive.fa,25_1,0.03,average,ANImf,25,ZhuHai_60_80,treatment,0,80,80
80_100.bin.163.permissive.fa,25_1,0.03,average,ANImf,25,ZhuHai_80_100,treatment,0,100,100
50_60.bin.94.permissive.fa,26_1,0.03,average,ANImf,26,ZhuHai_50_60,treatment,0,60,60
60_80.bin.94.permissive.fa,26_1,0.03,average,ANImf,26,ZhuHai_60_80,treatment,0,80,80
80_100.bin.24.permissive.fa,26_1,0.03,average,ANImf,26,ZhuHai_80_100,treatment,0,100,100
30_40.bin.66.strict.fa,27_1,0.03,average,ANImf,27,ZhuHai_30_40,treatment,0,40,40
60_80.bin.108.strict.fa,27_2,0.03,average,ANImf,27,ZhuHai_60_80,treatment,0,80,80
80_100.bin.17.permissive.fa,27_3,0.03,average,ANImf,27,ZhuHai_80_100,treatment,0,100,100
40_50.bin.44.orig.fa,28_1,0.03,average,ANImf,28,ZhuHai_40_50,treatment,0,50,50
50_60.bin.1.orig.fa,28_1,0.03,average,ANImf,28,ZhuHai_50_60,treatment,0,60,60
60_80.bin.1.orig.fa,28_1,0.03,average,ANImf,28,ZhuHai_60_80,treatment,0,80,80
80_100.bin.61.strict.fa,28_1,0.03,average,ANImf,28,ZhuHai_80_100,treatment,0,100,100
40_50.bin.142.orig.fa,29_0,0.03,average,ANImf,29,ZhuHai_40_50,treatment,0,50,50
40_50.bin.191.orig.fa,30_0,0.03,average,ANImf,30,ZhuHai_40_50,treatment,0,50,50
40_50.bin.206.strict.fa,31_1,0.03,average,ANImf,31,ZhuHai_40_50,treatment,0,50,50
50_60.bin.180.permissive.fa,31_1,0.03,average,ANImf,31,ZhuHai_50_60,treatment,0,60,60
60_80.bin.180.strict.fa,31_1,0.03,average,ANImf,31,ZhuHai_60_80,treatment,0,80,80
80_100.bin.64.strict.fa,32_0,0.03,average,ANImf,32,ZhuHai_80_100,treatment,0,100,100
0_5.bin.5.strict.fa,33_0,0.03,average,ANImf,33,ZhuHai_0_5,treatment,0,5,5
30_40.bin.60.permissive.fa,34_0,0.03,average,ANImf,34,ZhuHai_30_40,treatment,0,40,40
0_5.bin.77.strict.fa,35_0,0.03,average,ANImf,35,ZhuHai_0_5,treatment,0,5,5
30_40.bin.12.strict.fa,36_1,0.03,average,ANImf,36,ZhuHai_30_40,treatment,0,40,40
40_50.bin.168.orig.fa,36_1,0.03,average,ANImf,36,ZhuHai_40_50,treatment,0,50,50
40_50.bin.182.orig.fa,37_0,0.03,average,ANImf,37,ZhuHai_40_50,treatment,0,50,50
30_40.bin.159.strict.fa,38_1,0.03,average,ANImf,38,ZhuHai_30_40,treatment,0,40,40
40_50.bin.135.strict.fa,38_1,0.03,average,ANImf,38,ZhuHai_40_50,treatment,0,50,50
50_60.bin.53.permissive.fa,38_1,0.03,average,ANImf,38,ZhuHai_50_60,treatment,0,60,60
60_80.bin.53.strict.fa,38_1,0.03,average,ANImf,38,ZhuHai_60_80,treatment,0,80,80
80_100.bin.48.strict.fa,38_1,0.03,average,ANImf,38,ZhuHai_80_100,treatment,0,100,100
50_60.bin.36.orig.fa,39_1,0.03,average,ANImf,39,ZhuHai_50_60,treatment,0,60,60
60_80.bin.36.orig.fa,39_1,0.03,average,ANImf,39,ZhuHai_60_80,treatment,0,80,80
30_40.bin.38.strict.fa,40_1,0.03,average,ANImf,40,ZhuHai_30_40,treatment,0,40,40
40_50.bin.136.strict.fa,40_2,0.03,average,ANImf,40,ZhuHai_40_50,treatment,0,50,50
30_40.bin.57.strict.fa,41_1,0.03,average,ANImf,41,ZhuHai_30_40,treatment,0,40,40
40_50.bin.176.strict.fa,41_1,0.03,average,ANImf,41,ZhuHai_40_50,treatment,0,50,50
50_60.bin.164.strict.fa,41_1,0.03,average,ANImf,41,ZhuHai_50_60,treatment,0,60,60
60_80.bin.164.strict.fa,41_1,0.03,average,ANImf,41,ZhuHai_60_80,treatment,0,80,80
80_100.bin.35.strict.fa,41_1,0.03,average,ANImf,41,ZhuHai_80_100,treatment,0,100,100
30_40.bin.72.permissive.fa,42_1,0.03,average,ANImf,42,ZhuHai_30_40,treatment,0,40,40
50_60.bin.185.strict.fa,42_1,0.03,average,ANImf,42,ZhuHai_50_60,treatment,0,60,60
60_80.bin.185.strict.fa,42_1,0.03,average,ANImf,42,ZhuHai_60_80,treatment,0,80,80
50_60.bin.145.strict.fa,43_1,0.03,average,ANImf,43,ZhuHai_50_60,treatment,0,60,60
60_80.bin.145.strict.fa,43_1,0.03,average,ANImf,43,ZhuHai_60_80,treatment,0,80,80
30_40.bin.155.permissive.fa,44_1,0.03,average,ANImf,44,ZhuHai_30_40,treatment,0,40,40
40_50.bin.60.strict.fa,44_1,0.03,average,ANImf,44,ZhuHai_40_50,treatment,0,50,50
50_60.bin.64.permissive.fa,44_1,0.03,average,ANImf,44,ZhuHai_50_60,treatment,0,60,60
60_80.bin.64.strict.fa,44_1,0.03,average,ANImf,44,ZhuHai_60_80,treatment,0,80,80
80_100.bin.7.strict.fa,44_1,0.03,average,ANImf,44,ZhuHai_80_100,treatment,0,100,100
30_40.bin.170.orig.fa,45_1,0.03,average,ANImf,45,ZhuHai_30_40,treatment,0,40,40
40_50.bin.195.orig.fa,45_1,0.03,average,ANImf,45,ZhuHai_40_50,treatment,0,50,50
50_60.bin.73.orig.fa,45_1,0.03,average,ANImf,45,ZhuHai_50_60,treatment,0,60,60
60_80.bin.73.orig.fa,45_1,0.03,average,ANImf,45,ZhuHai_60_80,treatment,0,80,80
30_40.bin.146.orig.fa,46_0,0.03,average,ANImf,46,ZhuHai_30_40,treatment,0,40,40
80_100.bin.58.strict.fa,47_0,0.03,average,ANImf,47,ZhuHai_80_100,treatment,0,100,100
60_80.bin.117.permissive.fa,48_1,0.03,average,ANImf,48,ZhuHai_60_80,treatment,0,80,80
80_100.bin.159.strict.fa,48_1,0.03,average,ANImf,48,ZhuHai_80_100,treatment,0,100,100
40_50.bin.12.strict.fa,48_2,0.03,average,ANImf,48,ZhuHai_40_50,treatment,0,50,50
50_60.bin.27.orig.fa,49_1,0.03,average,ANImf,49,ZhuHai_50_60,treatment,0,60,60
60_80.bin.27.orig.fa,49_1,0.03,average,ANImf,49,ZhuHai_60_80,treatment,0,80,80
20_30.bin.108.orig.fa,50_0,0.03,average,ANImf,50,ZhuHai_20_30,treatment,0,30,30
5_10.bin.121.permissive.fa,51_0,0.03,average,ANImf,51,ZhuHai_5_10,treatment,0,10,10
20_30.bin.179.strict.fa,52_1,0.03,average,ANImf,52,ZhuHai_20_30,treatment,0,30,30
50_60.bin.72.orig.fa,52_1,0.03,average,ANImf,52,ZhuHai_50_60,treatment,0,60,60
60_80.bin.72.permissive.fa,52_1,0.03,average,ANImf,52,ZhuHai_60_80,treatment,0,80,80
15_20.bin.110.strict.fa,53_1,0.03,average,ANImf,53,ZhuHai_15_20,treatment,0,20,20
50_60.bin.136.orig.fa,53_1,0.03,average,ANImf,53,ZhuHai_50_60,treatment,0,60,60
60_80.bin.136.orig.fa,53_1,0.03,average,ANImf,53,ZhuHai_60_80,treatment,0,80,80
20_30.bin.157.strict.fa,54_0,0.03,average,ANImf,54,ZhuHai_20_30,treatment,0,30,30
30_40.bin.41.strict.fa,55_0,0.03,average,ANImf,55,ZhuHai_30_40,treatment,0,40,40
50_60.bin.182.strict.fa,56_1,0.03,average,ANImf,56,ZhuHai_50_60,treatment,0,60,60
60_80.bin.182.strict.fa,56_1,0.03,average,ANImf,56,ZhuHai_60_80,treatment,0,80,80
0_5.bin.94.strict.fa,57_1,0.03,average,ANImf,57,ZhuHai_0_5,treatment,0,5,5
10_15.bin.50.strict.fa,57_1,0.03,average,ANImf,57,ZhuHai_10_15,treatment,0,15,15
15_20.bin.88.permissive.fa,57_1,0.03,average,ANImf,57,ZhuHai_15_20,treatment,0,20,20
15_20.bin.52.strict.fa,58_0,0.03,average,ANImf,58,ZhuHai_15_20,treatment,0,20,20
15_20.bin.10.permissive.fa,59_0,0.03,average,ANImf,59,ZhuHai_15_20,treatment,0,20,20
30_40.bin.105.strict.fa,60_0,0.03,average,ANImf,60,ZhuHai_30_40,treatment,0,40,40
20_30.bin.187.strict.fa,61_1,0.03,average,ANImf,61,ZhuHai_20_30,treatment,0,30,30
50_60.bin.124.orig.fa,61_1,0.03,average,ANImf,61,ZhuHai_50_60,treatment,0,60,60
60_80.bin.124.strict.fa,61_1,0.03,average,ANImf,61,ZhuHai_60_80,treatment,0,80,80
15_20.bin.90.strict.fa,62_1,0.03,average,ANImf,62,ZhuHai_15_20,treatment,0,20,20
30_40.bin.173.orig.fa,62_1,0.03,average,ANImf,62,ZhuHai_30_40,treatment,0,40,40
5_10.bin.13.orig.fa,62_1,0.03,average,ANImf,62,ZhuHai_5_10,treatment,0,10,10
10_15.bin.18.permissive.fa,63_0,0.03,average,ANImf,63,ZhuHai_10_15,treatment,0,15,15
40_50.bin.61.orig.fa,64_0,0.03,average,ANImf,64,ZhuHai_40_50,treatment,0,50,50
0_5.bin.17.orig.fa,65_0,0.03,average,ANImf,65,ZhuHai_0_5,treatment,0,5,5
20_30.bin.25.strict.fa,66_0,0.03,average,ANImf,66,ZhuHai_20_30,treatment,0,30,30
30_40.bin.33.strict.fa,67_1,0.03,average,ANImf,67,ZhuHai_30_40,treatment,0,40,40
40_50.bin.49.strict.fa,67_1,0.03,average,ANImf,67,ZhuHai_40_50,treatment,0,50,50
50_60.bin.61.strict.fa,67_1,0.03,average,ANImf,67,ZhuHai_50_60,treatment,0,60,60
60_80.bin.61.strict.fa,67_1,0.03,average,ANImf,67,ZhuHai_60_80,treatment,0,80,80
80_100.bin.1.orig.fa,67_1,0.03,average,ANImf,67,ZhuHai_80_100,treatment,0,100,100
50_60.bin.75.strict.fa,68_1,0.03,average,ANImf,68,ZhuHai_50_60,treatment,0,60,60
60_80.bin.75.strict.fa,68_1,0.03,average,ANImf,68,ZhuHai_60_80,treatment,0,80,80
80_100.bin.6.strict.fa,69_0,0.03,average,ANImf,69,ZhuHai_80_100,treatment,0,100,100
80_100.bin.44.orig.fa,70_0,0.03,average,ANImf,70,ZhuHai_80_100,treatment,0,100,100
40_50.bin.202.strict.fa,71_0,0.03,average,ANImf,71,ZhuHai_40_50,treatment,0,50,50
80_100.bin.70.strict.fa,72_0,0.03,average,ANImf,72,ZhuHai_80_100,treatment,0,100,100
30_40.bin.55.orig.fa,73_1,0.03,average,ANImf,73,ZhuHai_30_40,treatment,0,40,40
40_50.bin.194.orig.fa,73_1,0.03,average,ANImf,73,ZhuHai_40_50,treatment,0,50,50
50_60.bin.167.strict.fa,73_1,0.03,average,ANImf,73,ZhuHai_50_60,treatment,0,60,60
60_80.bin.167.strict.fa,73_1,0.03,average,ANImf,73,ZhuHai_60_80,treatment,0,80,80
80_100.bin.21.orig.fa,73_1,0.03,average,ANImf,73,ZhuHai_80_100,treatment,0,100,100
30_40.bin.175.orig.fa,74_1,0.03,average,ANImf,74,ZhuHai_30_40,treatment,0,40,40
50_60.bin.57.strict.fa,74_1,0.03,average,ANImf,74,ZhuHai_50_60,treatment,0,60,60
60_80.bin.57.strict.fa,74_1,0.03,average,ANImf,74,ZhuHai_60_80,treatment,0,80,80
15_20.bin.14.permissive.fa,75_0,0.03,average,ANImf,75,ZhuHai_15_20,treatment,0,20,20
10_15.bin.148.strict.fa,76_1,0.03,average,ANImf,76,ZhuHai_10_15,treatment,0,15,15
15_20.bin.162.orig.fa,76_1,0.03,average,ANImf,76,ZhuHai_15_20,treatment,0,20,20
80_100.bin.32.orig.fa,77_0,0.03,average,ANImf,77,ZhuHai_80_100,treatment,0,100,100
20_30.bin.83.strict.fa,78_0,0.03,average,ANImf,78,ZhuHai_20_30,treatment,0,30,30
50_60.bin.18.orig.fa,79_1,0.03,average,ANImf,79,ZhuHai_50_60,treatment,0,60,60
60_80.bin.18.strict.fa,79_1,0.03,average,ANImf,79,ZhuHai_60_80,treatment,0,80,80
40_50.bin.129.strict.fa,80_0,0.03,average,ANImf,80,ZhuHai_40_50,treatment,0,50,50
10_15.bin.38.orig.fa,81_1,0.03,average,ANImf,81,ZhuHai_10_15,treatment,0,15,15
15_20.bin.8.strict.fa,81_1,0.03,average,ANImf,81,ZhuHai_15_20,treatment,0,20,20
30_40.bin.135.strict.fa,82_0,0.03,average,ANImf,82,ZhuHai_30_40,treatment,0,40,40
50_60.bin.149.orig.fa,83_1,0.03,average,ANImf,83,ZhuHai_50_60,treatment,0,60,60
60_80.bin.149.orig.fa,83_1,0.03,average,ANImf,83,ZhuHai_60_80,treatment,0,80,80
0_5.bin.62.strict.fa,84_1,0.03,average,ANImf,84,ZhuHai_0_5,treatment,0,5,5
5_10.bin.83.strict.fa,84_1,0.03,average,ANImf,84,ZhuHai_5_10,treatment,0,10,10
15_20.bin.153.permissive.fa,85_1,0.03,average,ANImf,85,ZhuHai_15_20,treatment,0,20,20
5_10.bin.18.strict.fa,85_1,0.03,average,ANImf,85,ZhuHai_5_10,treatment,0,10,10
10_15.bin.49.strict.fa,86_0,0.03,average,ANImf,86,ZhuHai_10_15,treatment,0,15,15
40_50.bin.96.strict.fa,87_0,0.03,average,ANImf,87,ZhuHai_40_50,treatment,0,50,50
20_30.bin.47.orig.fa,88_0,0.03,average,ANImf,88,ZhuHai_20_30,treatment,0,30,30
80_100.bin.176.orig.fa,89_0,0.03,average,ANImf,89,ZhuHai_80_100,treatment,0,100,100
0_5.bin.20.strict.fa,90_0,0.03,average,ANImf,90,ZhuHai_0_5,treatment,0,5,5
0_5.bin.107.strict.fa,91_0,0.03,average,ANImf,91,ZhuHai_0_5,treatment,0,5,5
0_5.bin.86.orig.fa,92_0,0.03,average,ANImf,92,ZhuHai_0_5,treatment,0,5,5
20_30.bin.169.strict.fa,93_1,0.03,average,ANImf,93,ZhuHai_20_30,treatment,0,30,30
50_60.bin.109.strict.fa,93_1,0.03,average,ANImf,93,ZhuHai_50_60,treatment,0,60,60
60_80.bin.109.permissive.fa,93_1,0.03,average,ANImf,93,ZhuHai_60_80,treatment,0,80,80
80_100.bin.186.permissive.fa,93_1,0.03,average,ANImf,93,ZhuHai_80_100,treatment,0,100,100
30_40.bin.145.orig.fa,94_1,0.03,average,ANImf,94,ZhuHai_30_40,treatment,0,40,40
40_50.bin.115.strict.fa,94_2,0.03,average,ANImf,94,ZhuHai_40_50,treatment,0,50,50
10_15.bin.37.permissive.fa,95_0,0.03,average,ANImf,95,ZhuHai_10_15,treatment,0,15,15
10_15.bin.133.strict.fa,96_1,0.03,average,ANImf,96,ZhuHai_10_15,treatment,0,15,15
15_20.bin.104.strict.fa,96_1,0.03,average,ANImf,96,ZhuHai_15_20,treatment,0,20,20
20_30.bin.127.strict.fa,96_1,0.03,average,ANImf,96,ZhuHai_20_30,treatment,0,30,30
40_50.bin.106.permissive.fa,96_1,0.03,average,ANImf,96,ZhuHai_40_50,treatment,0,50,50
10_15.bin.55.strict.fa,97_1,0.03,average,ANImf,97,ZhuHai_10_15,treatment,0,15,15
20_30.bin.168.orig.fa,97_1,0.03,average,ANImf,97,ZhuHai_20_30,treatment,0,30,30
10_15.bin.6.strict.fa,98_1,0.03,average,ANImf,98,ZhuHai_10_15,treatment,0,15,15
15_20.bin.53.strict.fa,98_1,0.03,average,ANImf,98,ZhuHai_15_20,treatment,0,20,20
20_30.bin.182.strict.fa,98_1,0.03,average,ANImf,98,ZhuHai_20_30,treatment,0,30,30
40_50.bin.27.strict.fa,98_1,0.03,average,ANImf,98,ZhuHai_40_50,treatment,0,50,50
50_60.bin.165.strict.fa,98_1,0.03,average,ANImf,98,ZhuHai_50_60,treatment,0,60,60
5_10.bin.92.strict.fa,98_1,0.03,average,ANImf,98,ZhuHai_5_10,treatment,0,10,10
60_80.bin.165.strict.fa,98_1,0.03,average,ANImf,98,ZhuHai_60_80,treatment,0,80,80
80_100.bin.68.permissive.fa,98_1,0.03,average,ANImf,98,ZhuHai_80_100,treatment,0,100,100
5_10.bin.52.permissive.fa,99_0,0.03,average,ANImf,99,ZhuHai_5_10,treatment,0,10,10
30_40.bin.31.orig.fa,100_1,0.03,average,ANImf,100,ZhuHai_30_40,treatment,0,40,40
80_100.bin.113.strict.fa,100_1,0.03,average,ANImf,100,ZhuHai_80_100,treatment,0,100,100
20_30.bin.124.strict.fa,101_0,0.03,average,ANImf,101,ZhuHai_20_30,treatment,0,30,30
30_40.bin.163.orig.fa,102_0,0.03,average,ANImf,102,ZhuHai_30_40,treatment,0,40,40
50_60.bin.151.strict.fa,103_1,0.03,average,ANImf,103,ZhuHai_50_60,treatment,0,60,60
60_80.bin.151.orig.fa,103_1,0.03,average,ANImf,103,ZhuHai_60_80,treatment,0,80,80
80_100.bin.71.orig.fa,104_0,0.03,average,ANImf,104,ZhuHai_80_100,treatment,0,100,100
30_40.bin.157.strict.fa,105_0,0.03,average,ANImf,105,ZhuHai_30_40,treatment,0,40,40
80_100.bin.82.orig.fa,106_0,0.03,average,ANImf,106,ZhuHai_80_100,treatment,0,100,100
0_5.bin.80.permissive.fa,107_1,0.03,average,ANImf,107,ZhuHai_0_5,treatment,0,5,5
10_15.bin.143.strict.fa,107_1,0.03,average,ANImf,107,ZhuHai_10_15,treatment,0,15,15
15_20.bin.13.permissive.fa,107_1,0.03,average,ANImf,107,ZhuHai_15_20,treatment,0,20,20
20_30.bin.52.strict.fa,107_1,0.03,average,ANImf,107,ZhuHai_20_30,treatment,0,30,30
5_10.bin.33.permissive.fa,107_1,0.03,average,ANImf,107,ZhuHai_5_10,treatment,0,10,10
20_30.bin.20.strict.fa,108_1,0.03,average,ANImf,108,ZhuHai_20_30,treatment,0,30,30
30_40.bin.144.strict.fa,108_1,0.03,average,ANImf,108,ZhuHai_30_40,treatment,0,40,40
10_15.bin.76.strict.fa,108_2,0.03,average,ANImf,108,ZhuHai_10_15,treatment,0,15,15
20_30.bin.170.strict.fa,109_0,0.03,average,ANImf,109,ZhuHai_20_30,treatment,0,30,30
20_30.bin.198.strict.fa,110_0,0.03,average,ANImf,110,ZhuHai_20_30,treatment,0,30,30
80_100.bin.173.orig.fa,111_0,0.03,average,ANImf,111,ZhuHai_80_100,treatment,0,100,100
20_30.bin.165.orig.fa,112_1,0.03,average,ANImf,112,ZhuHai_20_30,treatment,0,30,30
30_40.bin.118.strict.fa,112_1,0.03,average,ANImf,112,ZhuHai_30_40,treatment,0,40,40
40_50.bin.87.strict.fa,112_1,0.03,average,ANImf,112,ZhuHai_40_50,treatment,0,50,50
80_100.bin.92.strict.fa,112_1,0.03,average,ANImf,112,ZhuHai_80_100,treatment,0,100,100
30_40.bin.18.strict.fa,113_0,0.03,average,ANImf,113,ZhuHai_30_40,treatment,0,40,40
30_40.bin.125.strict.fa,114_1,0.03,average,ANImf,114,ZhuHai_30_40,treatment,0,40,40
40_50.bin.163.orig.fa,114_1,0.03,average,ANImf,114,ZhuHai_40_50,treatment,0,50,50
50_60.bin.82.strict.fa,114_1,0.03,average,ANImf,114,ZhuHai_50_60,treatment,0,60,60
60_80.bin.82.orig.fa,114_1,0.03,average,ANImf,114,ZhuHai_60_80,treatment,0,80,80
20_30.bin.134.strict.fa,115_1,0.03,average,ANImf,115,ZhuHai_20_30,treatment,0,30,30
80_100.bin.101.strict.fa,115_1,0.03,average,ANImf,115,ZhuHai_80_100,treatment,0,100,100
50_60.bin.102.orig.fa,116_1,0.03,average,ANImf,116,ZhuHai_50_60,treatment,0,60,60
60_80.bin.102.orig.fa,116_1,0.03,average,ANImf,116,ZhuHai_60_80,treatment,0,80,80
30_40.bin.26.strict.fa,117_1,0.03,average,ANImf,117,ZhuHai_30_40,treatment,0,40,40
40_50.bin.14.strict.fa,117_1,0.03,average,ANImf,117,ZhuHai_40_50,treatment,0,50,50
30_40.bin.71.strict.fa,118_1,0.03,average,ANImf,118,ZhuHai_30_40,treatment,0,40,40
40_50.bin.174.permissive.fa,118_1,0.03,average,ANImf,118,ZhuHai_40_50,treatment,0,50,50
50_60.bin.170.permissive.fa,118_1,0.03,average,ANImf,118,ZhuHai_50_60,treatment,0,60,60
60_80.bin.170.permissive.fa,118_1,0.03,average,ANImf,118,ZhuHai_60_80,treatment,0,80,80
20_30.bin.176.permissive.fa,119_0,0.03,average,ANImf,119,ZhuHai_20_30,treatment,0,30,30
10_15.bin.127.orig.fa,120_1,0.03,average,ANImf,120,ZhuHai_10_15,treatment,0,15,15
15_20.bin.158.orig.fa,120_1,0.03,average,ANImf,120,ZhuHai_15_20,treatment,0,20,20
10_15.bin.14.orig.fa,121_1,0.03,average,ANImf,121,ZhuHai_10_15,treatment,0,15,15
15_20.bin.160.strict.fa,121_1,0.03,average,ANImf,121,ZhuHai_15_20,treatment,0,20,20
5_10.bin.9.strict.fa,121_1,0.03,average,ANImf,121,ZhuHai_5_10,treatment,0,10,10
15_20.bin.168.strict.fa,122_0,0.03,average,ANImf,122,ZhuHai_15_20,treatment,0,20,20
15_20.bin.27.orig.fa,123_0,0.03,average,ANImf,123,ZhuHai_15_20,treatment,0,20,20
10_15.bin.32.strict.fa,124_1,0.03,average,ANImf,124,ZhuHai_10_15,treatment,0,15,15
15_20.bin.70.strict.fa,124_1,0.03,average,ANImf,124,ZhuHai_15_20,treatment,0,20,20
20_30.bin.175.orig.fa,124_1,0.03,average,ANImf,124,ZhuHai_20_30,treatment,0,30,30
15_20.bin.43.strict.fa,125_0,0.03,average,ANImf,125,ZhuHai_15_20,treatment,0,20,20
10_15.bin.113.strict.fa,126_1,0.03,average,ANImf,126,ZhuHai_10_15,treatment,0,15,15
15_20.bin.32.strict.fa,126_1,0.03,average,ANImf,126,ZhuHai_15_20,treatment,0,20,20
20_30.bin.74.orig.fa,126_1,0.03,average,ANImf,126,ZhuHai_20_30,treatment,0,30,30
