querry,reference,alignment_length,similarity_errors,ref_coverage,querry_coverage,ani,reference_length,querry_length,alignment_coverage,primary_cluster
10_15.bin.79.orig.fa,5_10.bin.15.strict.fa,1746132,18854,0.72024244,0.75289136,0.98920244,2424367,2319235,0.752891363,163
10_15.bin.79.orig.fa,60_80.bin.51.orig.fa,1370790,16468,0.73184836,0.59105265,0.9879865,1873052,2319235,0.731848342,163
20_30.bin.91.orig.fa,0_5.bin.32.strict.fa,1426441,15373,0.56649154,0.79161096,0.9892228,2518027,1801947,0.791610963,163
20_30.bin.91.orig.fa,10_15.bin.79.orig.fa,1376978,14847,0.5937208,0.7641612,0.9892177,2319235,1801947,0.76416121,163
20_30.bin.91.orig.fa,20_30.bin.91.orig.fa,1801518,0,0.99976194,0.99976194,1,1801947,1801947,0.999761924,163
20_30.bin.91.orig.fa,30_40.bin.73.orig.fa,1390132,15566,0.63545144,0.77146107,0.9888025,2187629,1801947,0.771461092,163
20_30.bin.91.orig.fa,50_60.bin.51.strict.fa,1061390,15034,0.57681763,0.589024,0.98583555,1840079,1801947,0.589023984,163
20_30.bin.91.orig.fa,5_10.bin.15.strict.fa,1426177,15628,0.5882678,0.79146445,0.98904204,2424367,1801947,0.791464455,163
20_30.bin.91.orig.fa,60_80.bin.51.orig.fa,1098625,13720,0.5865427,0.60968775,0.98751163,1873052,1801947,0.609687743,163
30_40.bin.73.orig.fa,0_5.bin.32.strict.fa,1695093,18244,0.673183,0.77485394,0.9892372,2518027,2187629,0.774853963,163
30_40.bin.73.orig.fa,10_15.bin.79.orig.fa,1633463,18026,0.70431113,0.7466819,0.98896456,2319235,2187629,0.74668191,163
30_40.bin.73.orig.fa,20_30.bin.91.orig.fa,1389507,15517,0.77111423,0.63516575,0.9888327,1801947,2187629,0.771114245,163
30_40.bin.73.orig.fa,30_40.bin.73.orig.fa,2187137,0,0.9997751,0.9997751,1,2187629,2187629,0.999775099,163
30_40.bin.73.orig.fa,50_60.bin.51.strict.fa,1314627,19140,0.7144405,0.6009369,0.98544073,1840079,2187629,0.714440521,163
30_40.bin.73.orig.fa,5_10.bin.15.strict.fa,1663444,17957,0.6861354,0.7603867,0.98920494,2424367,2187629,0.760386702,163
30_40.bin.73.orig.fa,60_80.bin.51.orig.fa,1360323,17250,0.7262601,0.6218253,0.9873192,1873052,2187629,0.726260136,163
50_60.bin.51.strict.fa,0_5.bin.32.strict.fa,1404338,20265,0.5577136,0.7631944,0.9855697,2518027,1840079,0.763194406,163
50_60.bin.51.strict.fa,10_15.bin.79.orig.fa,1326699,18945,0.57204163,0.7210011,0.9857202,2319235,1840079,0.721001109,163
50_60.bin.51.strict.fa,20_30.bin.91.orig.fa,1061680,15011,0.58918494,0.5769752,0.98586106,1801947,1840079,0.589184921,163
50_60.bin.51.strict.fa,30_40.bin.73.orig.fa,1315027,19130,0.60111976,0.7146579,0.9854528,2187629,1840079,0.714657903,163
50_60.bin.51.strict.fa,50_60.bin.51.strict.fa,1839658,110,0.9997712,0.9997712,0.9999402,1840079,1840079,0.999771205,163
50_60.bin.51.strict.fa,5_10.bin.15.strict.fa,1386498,19650,0.571901,0.75349915,0.9858276,2424367,1840079,0.75349917,163
50_60.bin.51.strict.fa,60_80.bin.51.orig.fa,1749107,10398,0.9338272,0.9505608,0.9940553,1873052,1840079,0.950560818,163
5_10.bin.15.strict.fa,0_5.bin.32.strict.fa,1852094,18822,0.73553383,0.7639495,0.98983747,2518027,2424367,0.763949518,163
5_10.bin.15.strict.fa,10_15.bin.79.orig.fa,1746189,18846,0.7529159,0.7202659,0.9892073,2319235,2424367,0.75291594,163
5_10.bin.15.strict.fa,20_30.bin.91.orig.fa,1426086,15680,0.79141396,0.58823025,0.98900485,1801947,2424367,0.791413954,163
5_10.bin.15.strict.fa,30_40.bin.73.orig.fa,1663727,17960,0.76051605,0.6862521,0.98920494,2187629,2424367,0.760516066,163
5_10.bin.15.strict.fa,50_60.bin.51.strict.fa,1386596,19656,0.75355244,0.57194144,0.9858243,1840079,2424367,0.753552429,163
5_10.bin.15.strict.fa,5_10.bin.15.strict.fa,2423794,140,0.99976367,0.99976367,0.99994224,2424367,2424367,0.99976365,163
5_10.bin.15.strict.fa,60_80.bin.51.orig.fa,1441083,17902,0.76937693,0.5944162,0.9875774,1873052,2424367,0.769376931,163
60_80.bin.51.orig.fa,0_5.bin.32.strict.fa,1452783,17588,0.57695293,0.77562344,0.9878936,2518027,1873052,0.775623421,163
60_80.bin.51.orig.fa,10_15.bin.79.orig.fa,1370122,16311,0.59076464,0.7314917,0.9880952,2319235,1873052,0.731491704,163
60_80.bin.51.orig.fa,20_30.bin.91.orig.fa,1097580,13554,0.6091078,0.5859848,0.987651,1801947,1873052,0.609107815,163
60_80.bin.51.orig.fa,30_40.bin.73.orig.fa,1359158,16994,0.6212927,0.72563815,0.9874967,2187629,1873052,0.725638156,163
60_80.bin.51.orig.fa,50_60.bin.51.strict.fa,1748910,10404,0.95045376,0.9337221,0.99405116,1840079,1873052,0.950453758,163
60_80.bin.51.orig.fa,5_10.bin.15.strict.fa,1438909,17614,0.59351945,0.76821625,0.98775876,2424367,1873052,0.768216259,163
60_80.bin.51.orig.fa,60_80.bin.51.orig.fa,1872608,0,0.99976295,0.99976295,1,1873052,1873052,0.999762954,163
0_5.bin.40.orig.fa,0_5.bin.40.orig.fa,2596309,0,0.99991256,0.99991256,1,2596536,2596536,0.999912576,165
0_5.bin.40.orig.fa,30_40.bin.70.orig.fa,2546672,13607,0.67689323,0.980796,0.9946569,3762295,2596536,0.980795953,165
0_5.bin.40.orig.fa,40_50.bin.181.strict.fa,2547251,13028,0.62909704,0.98101896,0.99488544,4049059,2596536,0.981018942,165
0_5.bin.40.orig.fa,50_60.bin.148.strict.fa,2547576,13370,0.6464731,0.98114413,0.9947519,3940730,2596536,0.981144109,165
0_5.bin.40.orig.fa,5_10.bin.113.orig.fa,2368977,12284,0.7636452,0.91236055,0.99481463,3102196,2596536,0.912360545,165
0_5.bin.40.orig.fa,60_80.bin.148.strict.fa,2538338,13194,0.6654178,0.97758627,0.9948021,3814653,2596536,0.977586292,165
0_5.bin.40.orig.fa,80_100.bin.9.orig.fa,2589584,13270,0.6856596,0.99732256,0.9948756,3776778,2596536,0.997322587,165
30_40.bin.70.orig.fa,0_5.bin.40.orig.fa,2546403,13605,0.9806923,0.6768217,0.99465716,2596536,3762295,0.980692353,165
30_40.bin.70.orig.fa,30_40.bin.70.orig.fa,3761772,0,0.999861,0.999861,1,3762295,3762295,0.999860989,165
30_40.bin.70.orig.fa,40_50.bin.181.strict.fa,3526719,20980,0.8709972,0.937385,0.9940511,4049059,3762295,0.937385027,165
30_40.bin.70.orig.fa,50_60.bin.148.strict.fa,3455379,20645,0.8768373,0.9184232,0.99402523,3940730,3762295,0.918423196,165
30_40.bin.70.orig.fa,5_10.bin.113.orig.fa,3005328,16974,0.9687744,0.7988018,0.99435204,3102196,3762295,0.968774378,165
30_40.bin.70.orig.fa,60_80.bin.148.strict.fa,3425676,20301,0.8980308,0.9105283,0.99407387,3814653,3762295,0.910528281,165
30_40.bin.70.orig.fa,80_100.bin.9.orig.fa,3512592,19662,0.9300499,0.9336301,0.9944024,3776778,3762295,0.933630138,165
40_50.bin.181.strict.fa,0_5.bin.40.orig.fa,2547236,13064,0.9810132,0.62909335,0.9948713,2596536,4049059,0.981013165,165
40_50.bin.181.strict.fa,30_40.bin.70.orig.fa,3527252,21004,0.9375267,0.8711288,0.9940452,3762295,4049059,0.937526696,165
40_50.bin.181.strict.fa,40_50.bin.181.strict.fa,4048494,110,0.99986047,0.99986047,0.9999728,4049059,4049059,0.999860461,165
40_50.bin.181.strict.fa,50_60.bin.148.strict.fa,3535918,20108,0.89727485,0.8732691,0.99431324,3940730,4049059,0.89727487,165
40_50.bin.181.strict.fa,5_10.bin.113.orig.fa,3014759,17140,0.97181445,0.7445579,0.9943146,3102196,4049059,0.971814482,165
40_50.bin.181.strict.fa,60_80.bin.148.strict.fa,3505318,19642,0.9189087,0.86571175,0.9943965,3814653,4049059,0.918908745,165
40_50.bin.181.strict.fa,80_100.bin.9.orig.fa,3598912,20325,0.95290536,0.8888268,0.99435246,3776778,4049059,0.95290536,165
50_60.bin.148.strict.fa,0_5.bin.40.orig.fa,2547860,13360,0.9812535,0.6465452,0.9947564,2596536,3940730,0.981253485,165
50_60.bin.148.strict.fa,30_40.bin.70.orig.fa,3455986,20740,0.9185845,0.87699133,0.9939988,3762295,3940730,0.918584534,165
50_60.bin.148.strict.fa,40_50.bin.181.strict.fa,3536075,20270,0.8733078,0.8973147,0.99426764,4049059,3940730,0.897314711,165
50_60.bin.148.strict.fa,50_60.bin.148.strict.fa,3938917,109,0.9995399,0.9995399,0.99997234,3940730,3940730,0.999539933,165
50_60.bin.148.strict.fa,5_10.bin.113.orig.fa,3004719,17139,0.96857804,0.76247776,0.99429595,3102196,3940730,0.968578065,165
50_60.bin.148.strict.fa,60_80.bin.148.strict.fa,3664436,11096,0.96062106,0.9298876,0.99697196,3814653,3940730,0.960621058,165
50_60.bin.148.strict.fa,80_100.bin.9.orig.fa,3541872,20010,0.93780255,0.89878577,0.99435043,3776778,3940730,0.93780254,165
5_10.bin.113.orig.fa,0_5.bin.40.orig.fa,2369020,12408,0.9123771,0.76365906,0.9947624,2596536,3102196,0.912377105,165
5_10.bin.113.orig.fa,30_40.bin.70.orig.fa,3005601,17074,0.7988744,0.96886235,0.99431926,3762295,3102196,0.96886238,165
5_10.bin.113.orig.fa,40_50.bin.181.strict.fa,3014543,17059,0.7445046,0.97174484,0.9943411,4049059,3102196,0.971744854,165
5_10.bin.113.orig.fa,50_60.bin.148.strict.fa,3004627,17221,0.7624544,0.9685484,0.9942685,3940730,3102196,0.968548409,165
5_10.bin.113.orig.fa,5_10.bin.113.orig.fa,3101915,0,0.9999094,0.9999094,1,3102196,3102196,0.999909419,165
5_10.bin.113.orig.fa,60_80.bin.148.strict.fa,2989326,16853,0.78364295,0.9636161,0.9943623,3814653,3102196,0.963616096,165
5_10.bin.113.orig.fa,80_100.bin.9.orig.fa,3059578,16767,0.8101027,0.98626196,0.9945198,3776778,3102196,0.98626199,165
60_80.bin.148.strict.fa,0_5.bin.40.orig.fa,2538251,13185,0.9775528,0.66539496,0.99480546,2596536,3814653,0.977552786,165
60_80.bin.148.strict.fa,30_40.bin.70.orig.fa,3426021,20325,0.91062,0.8981213,0.9940675,3762295,3814653,0.910619981,165
60_80.bin.148.strict.fa,40_50.bin.181.strict.fa,3505317,19639,0.8657115,0.9189085,0.99439734,4049059,3814653,0.918908483,165
60_80.bin.148.strict.fa,50_60.bin.148.strict.fa,3664377,11097,0.92987263,0.96060556,0.99697167,3940730,3814653,0.960605591,165
60_80.bin.148.strict.fa,5_10.bin.113.orig.fa,2989529,16856,0.9636815,0.7836962,0.99436164,3102196,3814653,0.963681534,165
60_80.bin.148.strict.fa,60_80.bin.148.strict.fa,3813929,110,0.9998102,0.9998102,0.99997115,3814653,3814653,0.999810206,165
60_80.bin.148.strict.fa,80_100.bin.9.orig.fa,3512715,19824,0.93008244,0.92084783,0.9943565,3776778,3814653,0.930082467,165
80_100.bin.9.orig.fa,0_5.bin.40.orig.fa,2589137,13252,0.9971504,0.6855412,0.9948817,2596536,3776778,0.997150434,165
80_100.bin.9.orig.fa,30_40.bin.70.orig.fa,3513063,19715,0.93375534,0.9301746,0.9943881,3762295,3776778,0.933755328,165
80_100.bin.9.orig.fa,40_50.bin.181.strict.fa,3598670,20207,0.888767,0.9528413,0.9943849,4049059,3776778,0.952841284,165
80_100.bin.9.orig.fa,50_60.bin.148.strict.fa,3541132,19823,0.89859796,0.93760663,0.99440205,3940730,3776778,0.937606605,165
80_100.bin.9.orig.fa,5_10.bin.113.orig.fa,3059388,16725,0.98620075,0.8100524,0.99453324,3102196,3776778,0.986200743,165
80_100.bin.9.orig.fa,60_80.bin.148.strict.fa,3512941,19709,0.9209071,0.9301423,0.9943896,3814653,3776778,0.930142306,165
80_100.bin.9.orig.fa,80_100.bin.9.orig.fa,3776307,0,0.9998753,0.9998753,1,3776778,3776778,0.999875291,165
0_5.bin.46.strict.fa,0_5.bin.46.strict.fa,1656687,160,0.99959815,0.99959815,0.99990344,1657353,1657353,0.999598154,193
0_5.bin.46.strict.fa,5_10.bin.36.orig.fa,1263041,34577,0.40932736,0.7620833,0.972624,3085650,1657353,0.762083274,193
5_10.bin.36.orig.fa,0_5.bin.46.strict.fa,1261604,34446,0.7612162,0.40886167,0.97269666,1657353,3085650,0.761216229,193
5_10.bin.36.orig.fa,5_10.bin.36.orig.fa,3084861,0,0.9997443,0.9997443,1,3085650,3085650,0.9997443,193
0_5.bin.47.strict.fa,0_5.bin.47.strict.fa,2699305,120,0.99981815,0.99981815,0.99995553,2699796,2699796,0.999818134,15
0_5.bin.47.strict.fa,10_15.bin.31.permissive.fa,1773193,28985,0.75505817,0.65678775,0.9836538,2348419,2699796,0.75505819,15
0_5.bin.47.strict.fa,5_10.bin.88.strict.fa,1095992,17862,0.82155675,0.40595365,0.9837024,1334043,2699796,0.821556726,15
10_15.bin.31.permissive.fa,0_5.bin.47.strict.fa,1773347,29036,0.6568448,0.7551238,0.9836264,2699796,2348419,0.755123766,15
10_15.bin.31.permissive.fa,10_15.bin.31.permissive.fa,2347866,70,0.9997645,0.9997645,0.9999702,2348419,2348419,0.999764522,15
10_15.bin.31.permissive.fa,5_10.bin.88.strict.fa,981407,17206,0.7356637,0.41790116,0.982468,1334043,2348419,0.735663693,15
5_10.bin.88.strict.fa,0_5.bin.47.strict.fa,1096015,17837,0.40596214,0.821574,0.9837256,2699796,1334043,0.821573967,15
5_10.bin.88.strict.fa,10_15.bin.31.permissive.fa,981481,17214,0.41793266,0.73571914,0.9824612,2348419,1334043,0.735719163,15
5_10.bin.88.strict.fa,5_10.bin.88.strict.fa,1333691,60,0.99973613,0.99973613,0.999955,1334043,1334043,0.99973614,15
0_5.bin.49.permissive.fa,0_5.bin.49.permissive.fa,1136290,140,0.9996085,0.9996085,0.9998768,1136735,1136735,0.999608528,130
0_5.bin.49.permissive.fa,5_10.bin.89.strict.fa,632535,9654,0.58429503,0.55644894,0.9847376,1082561,1136735,0.584295019,130
5_10.bin.89.strict.fa,0_5.bin.49.permissive.fa,632571,9658,0.55648065,0.5843283,0.98473215,1136735,1082561,0.584328273,130
5_10.bin.89.strict.fa,5_10.bin.89.strict.fa,1082141,51,0.99961203,0.99961203,0.99995285,1082561,1082561,0.999612031,130
0_5.bin.56.permissive.fa,0_5.bin.56.permissive.fa,1099131,102,0.9995608,0.9995608,0.9999072,1099614,1099614,0.999560755,185
0_5.bin.5.strict.fa,0_5.bin.5.strict.fa,1204276,81,0.9998846,0.9998846,0.99993277,1204415,1204415,0.999884591,33
0_5.bin.62.strict.fa,0_5.bin.62.strict.fa,1761486,110,0.99966687,0.99966687,0.99993753,1762073,1762073,0.99966687,84
0_5.bin.62.strict.fa,5_10.bin.83.strict.fa,817719,16914,0.39323527,0.46406648,0.97931564,2079465,1762073,0.464066472,84
5_10.bin.83.strict.fa,0_5.bin.62.strict.fa,819426,17300,0.46503523,0.39405617,0.9788877,1762073,2079465,0.465035217,84
5_10.bin.83.strict.fa,5_10.bin.83.strict.fa,2078885,88,0.9997211,0.9997211,0.9999577,2079465,2079465,0.999721082,84
0_5.bin.65.strict.fa,0_5.bin.65.strict.fa,3343086,100,0.99985707,0.99985707,0.9999701,3343564,3343564,0.999857039,134
0_5.bin.65.strict.fa,10_15.bin.30.orig.fa,2944750,21944,0.8396766,0.88072187,0.9925481,3507005,3343564,0.880721888,134
0_5.bin.65.strict.fa,15_20.bin.51.orig.fa,2753882,24754,0.877073,0.8236367,0.99101126,3139855,3343564,0.877072986,134
0_5.bin.65.strict.fa,20_30.bin.132.strict.fa,2224807,27506,0.834717,0.66539985,0.9876367,2665343,3343564,0.834716958,134
0_5.bin.65.strict.fa,5_10.bin.103.orig.fa,2327653,20852,0.89418054,0.69615924,0.9910416,2603113,3343564,0.894180545,134
10_15.bin.30.orig.fa,0_5.bin.65.strict.fa,2943823,21829,0.88044465,0.8394123,0.9925848,3343564,3507005,0.880444639,134
10_15.bin.30.orig.fa,10_15.bin.30.orig.fa,3506347,0,0.99981236,0.99981236,1,3507005,3507005,0.999812376,134
10_15.bin.30.orig.fa,15_20.bin.51.orig.fa,2895708,23488,0.9222426,0.8256926,0.9918887,3139855,3507005,0.922242588,134
10_15.bin.30.orig.fa,20_30.bin.132.strict.fa,2342798,27090,0.8789856,0.66803384,0.9884369,2665343,3507005,0.878985556,134
10_15.bin.30.orig.fa,5_10.bin.103.orig.fa,2416757,19165,0.92841035,0.6891228,0.99206996,2603113,3507005,0.92841033,134
15_20.bin.51.orig.fa,0_5.bin.65.strict.fa,2753914,24760,0.82364625,0.8770832,0.9910092,3343564,3139855,0.877083177,134
15_20.bin.51.orig.fa,10_15.bin.30.orig.fa,2896813,23626,0.82600766,0.9225945,0.9918441,3507005,3139855,0.922594515,134
15_20.bin.51.orig.fa,15_20.bin.51.orig.fa,3139252,0,0.99980795,0.99980795,1,3139855,3139855,0.999807953,134
15_20.bin.51.orig.fa,20_30.bin.132.strict.fa,2267407,28922,0.8506999,0.7221375,0.9872445,2665343,3139855,0.850699891,134
15_20.bin.51.orig.fa,5_10.bin.103.orig.fa,2329346,21486,0.89483094,0.7418642,0.99077594,2603113,3139855,0.89483092,134
20_30.bin.132.strict.fa,0_5.bin.65.strict.fa,2224791,27486,0.6653951,0.83471096,0.98764557,3343564,2665343,0.834710955,134
20_30.bin.132.strict.fa,10_15.bin.30.orig.fa,2343175,27097,0.6681413,0.879127,0.9884358,3507005,2665343,0.879127002,134
20_30.bin.132.strict.fa,15_20.bin.51.orig.fa,2267779,28930,0.72225595,0.85083944,0.987243,3139855,2665343,0.85083946,134
20_30.bin.132.strict.fa,20_30.bin.132.strict.fa,2664675,180,0.99974936,0.99974936,0.99993247,2665343,2665343,0.999749376,134
20_30.bin.132.strict.fa,5_10.bin.103.orig.fa,1952732,25398,0.7501526,0.7326382,0.9869936,2603113,2665343,0.750152606,134
5_10.bin.103.orig.fa,0_5.bin.65.strict.fa,2327244,20801,0.69603693,0.8940234,0.991062,3343564,2603113,0.894023425,134
5_10.bin.103.orig.fa,10_15.bin.30.orig.fa,2417295,19199,0.68927616,0.928617,0.9920576,3507005,2603113,0.928617006,134
5_10.bin.103.orig.fa,15_20.bin.51.orig.fa,2328697,21344,0.7416575,0.8945816,0.99083436,3139855,2603113,0.894581603,134
5_10.bin.103.orig.fa,20_30.bin.132.strict.fa,1952600,25515,0.73258865,0.7501019,0.9869328,2665343,2603113,0.750101897,134
5_10.bin.103.orig.fa,5_10.bin.103.orig.fa,2602641,0,0.9998187,0.9998187,1,2603113,2603113,0.999818679,134
0_5.bin.66.strict.fa,0_5.bin.66.strict.fa,3795399,140,0.9998664,0.9998664,0.9999631,3795906,3795906,0.999866435,151
0_5.bin.66.strict.fa,10_15.bin.107.orig.fa,3294569,22440,0.8317955,0.8679269,0.9931888,3960792,3795906,0.867926919,151
0_5.bin.66.strict.fa,15_20.bin.37.orig.fa,3273879,22505,0.843768,0.8624763,0.9931259,3880070,3795906,0.86247631,151
0_5.bin.66.strict.fa,20_30.bin.121.orig.fa,3020344,21632,0.8681909,0.79568464,0.9928379,3478894,3795906,0.868190868,151
0_5.bin.66.strict.fa,5_10.bin.10.orig.fa,3330145,21949,0.82111514,0.87729913,0.993409,4055637,3795906,0.877299122,151
10_15.bin.107.orig.fa,0_5.bin.66.strict.fa,3294222,22402,0.8678355,0.8317079,0.9931996,3795906,3960792,0.867835505,151
10_15.bin.107.orig.fa,10_15.bin.107.orig.fa,3959947,0,0.9997867,0.9997867,1,3960792,3960792,0.999786659,151
10_15.bin.107.orig.fa,15_20.bin.37.orig.fa,3459795,23004,0.89168364,0.8735109,0.99335104,3880070,3960792,0.891683655,151
10_15.bin.107.orig.fa,20_30.bin.121.orig.fa,3107874,22358,0.89335114,0.78465974,0.992806,3478894,3960792,0.893351163,151
10_15.bin.107.orig.fa,5_10.bin.10.orig.fa,3515061,21946,0.86670995,0.88746417,0.9937566,4055637,3960792,0.887464174,151
15_20.bin.37.orig.fa,0_5.bin.66.strict.fa,3273320,22347,0.86232907,0.84362394,0.993173,3795906,3880070,0.862329046,151
15_20.bin.37.orig.fa,10_15.bin.107.orig.fa,3459618,23060,0.8734662,0.89163804,0.99333453,3960792,3880070,0.891638037,151
15_20.bin.37.orig.fa,15_20.bin.37.orig.fa,3879366,0,0.99981856,0.99981856,1,3880070,3880070,0.99981856,151
15_20.bin.37.orig.fa,20_30.bin.121.orig.fa,3151098,22151,0.9057758,0.812124,0.9929704,3478894,3880070,0.905775801,151
15_20.bin.37.orig.fa,5_10.bin.10.orig.fa,3479209,22226,0.8578699,0.89668715,0.99361175,4055637,3880070,0.896687173,151
20_30.bin.121.orig.fa,0_5.bin.66.strict.fa,3019944,21705,0.79557925,0.8680759,0.99281275,3795906,3478894,0.868075888,151
20_30.bin.121.orig.fa,10_15.bin.107.orig.fa,3108223,22424,0.78474784,0.89345145,0.9927856,3960792,3478894,0.893451482,151
20_30.bin.121.orig.fa,15_20.bin.37.orig.fa,3151167,22210,0.8121418,0.90579563,0.9929518,3880070,3478894,0.905795635,151
20_30.bin.121.orig.fa,20_30.bin.121.orig.fa,3478418,0,0.99986315,0.99986315,1,3478894,3478894,0.999863175,151
20_30.bin.121.orig.fa,5_10.bin.10.orig.fa,3124128,22065,0.77031744,0.89802337,0.9929372,4055637,3478894,0.898023337,151
5_10.bin.10.orig.fa,0_5.bin.66.strict.fa,3329725,22020,0.8771885,0.8210116,0.99338686,3795906,4055637,0.877188476,151
5_10.bin.10.orig.fa,10_15.bin.107.orig.fa,3514623,21950,0.8873536,0.86660194,0.9937547,3960792,4055637,0.88735359,151
5_10.bin.10.orig.fa,15_20.bin.37.orig.fa,3478347,22212,0.896465,0.8576574,0.9936142,3880070,4055637,0.896465012,151
5_10.bin.10.orig.fa,20_30.bin.121.orig.fa,3123822,22063,0.8979354,0.77024204,0.9929372,3478894,4055637,0.897935378,151
5_10.bin.10.orig.fa,5_10.bin.10.orig.fa,4054736,0,0.99977785,0.99977785,1,4055637,4055637,0.99977784,151
0_5.bin.67.orig.fa,0_5.bin.67.orig.fa,1950795,0,0.9996531,0.9996531,1,1951472,1951472,0.999653082,137
0_5.bin.6.strict.fa,0_5.bin.6.strict.fa,2823940,90,0.9997097,0.9997097,0.9999681,2824760,2824760,0.99970971,226
0_5.bin.77.strict.fa,0_5.bin.77.strict.fa,1445393,90,0.9997828,0.9997828,0.9999377,1445707,1445707,0.999782805,35
